최종 업데이트 날짜,2021-08-06 00:49:02
제목,주최,대상,날짜
제9회 2021 빅콘테스트,  한국지능정보사회진흥원,"
																									중학생									,																	고등학생									,																	대학생									,																	대학원생									,																	일반인","
																	21.10.01~21.11.26															"
[해커톤/공모전] 한국언론진흥재단 2021뉴스빅데이터해커톤,  한국언론진흥재단,"
																									제한없음									,																	대학생									,																	대학원생									,																	일반인","
																	21.09.17~21.10.14															"
제3회 Future Finance A.I. Challenge ,  KB국민은행,"
																									대학생									,																	대학원생									,																	일반인","
																	21.09.07															"
LS전선 마인크래프트 ESG 공모전,  LS전선,"
																									초등학생									,																	중학생									,																	고등학생									,																	대학생									,																	기타","
																	21.07.26~21.09.05															"
제18회 대한민국 평생학습대상,  교육부,"
																									제한없음","
																	21.08.13~21.10.31															"
2021 K-EDU 창의력 경진대회,"  교육부, 산업통상자원부","
																									초등학생									,																	중학생									,																	고등학생									,																	대학생","
																	21.08.28															"
2021 산림복지 데이터 시각화 아이디어 공모전,  한국산림복지진흥원,"
																									대학생									,																	대학원생									,																	일반인","
																	21.09.30~21.10.08															"
2021년 제8회 전국 ICT융합 공모전 ,"  과학기술정보통신부, 충청북도","
																									제한없음","
																	21.07.16~21.09.05															"
서울도서관 Link Revolution 아이디어톤 대회,  서울도서관,"
																									제한없음","
																	21.08.09~21.08.13															"
스마트톡톡 코딩 공모전,"  부산광역시, 부산시교육청","
																									초등학생									,																	중학생									,																	기타","
																	21.07.19~21.09.24															"
2021년 공공데이터 활용 인포그래픽 공모전,  경상북도개발공사,"
																									제한없음","
																	21.07.05~21.08.13															"
제5회 통일을 준비하는 코딩대회 ,  통일부,"
																									초등학생									,																	중학생									,																	고등학생","
																	21.06.10~21.08.06															"
2021 빛가람에너지밸리 소프트웨어 작품 경진대회    ,  한전KDN,"
																									고등학생									,																	대학생									,																	대학원생									,																	기타","
																	21.07.01~21.09.30															"
제6회 넥슨 청소년 프로그래밍 챌린지 (NYPC 2021),"  넥슨, 넥슨재단","
																									초등학생									,																	중학생									,																	고등학생","
																	21.10.30															"
세계청소년의날기념 적정기술경진대회,  대구청소년지원재단,"
																									초등학생									,																	중학생									,																	고등학생									,																	대학생","
																	21.07.22~21.07.26															"
2021년 ICT 스마트 디바이스 전국 공모전,  과학기술정보통신부,"
																									제한없음","
																	21.08.09~21.09.30															"
태성에스엔이 CAE 아카데믹 경진대회,  태성에스엔이,"
																									대학생									,																	대학원생","
																	21.08.19~21.09.10															"
Rotman-UNIST Trading Competition 2021 (Rotman-UNIST 트레이딩 경진대회),  울산과학기술원 국제에너지트레이딩연구센터,"
																									대학생									,																	대학원생","
																	21.08.19															"
온라인 마케터가 되는 지름길 Google Analytics 자격증 교육으로~!,  구로청년공간 청년이룸,"
																									대학생									,																	대학원생									,																	일반인									,																	기타","
																	21.07.29															"
2021 항공우주기술 대학생 창업아카데미,  한국항공우주연구원,"
																									대학생									,																	대학원생","
																	21.08.04~21.08.25															"
2021 자율성장 인공지능 경진대회,  한국전자통신연구원,"
																									제한없음","
																	21.07.06~21.09.15															"
2021 세명크래프트 경진대회,  세명대학교 IT엔지니어링대학,"
																									고등학생","
																	21.06.21~21.08.02															"
영화 빅데이터 구축·활용 과제 발굴을 위한 아이디어 공모전,  한국영상자료원,"
																									제한없음","
																	21.08.05~21.08.31															"
제4회 해운 신사업 아이디어 경진대회,  한국해양진흥공사,"
																									제한없음","
																	21.07.31~21.08.10															"
2021년 도서관 빅데이터 우수 활용사례 및 아이디어 공모전,  국립중앙도서관,"
																									기타","
																	21.06.17~21.08.16															"
제7회 과학치안 아이디어 공모전,  과학기술정보통신부·경찰청,"
																									제한없음","
																	21.08.30~21.09.30															"
2021 대국민 화학안전 아이디어 공모전,  환경부 화학물질안전원,"
																									제한없음","
																	21.08.01~21.08.31															"
K-Shield 주니어 정보보호 관리진단 과정,  과학기술정보통신부,"
																									고등학생									,																	대학생									,																	대학원생									,																	일반인									,																	기타","
																	21.08.23~21.11.09															"
2021년 전라남도 공공데이터 활용 아이디어 공모전,  전라남도,"
																									제한없음","
																	21.07.19~21.07.30															"
예스폼 비즈니스 콘텐츠 공모전,  (주)예스폼,"
																									제한없음","
																	21.07.01~21.08.14															"
제2회 인공지능이 바꾸는 미래세상 콘텐츠 공모전,"  과학기술정보통신부, 정보통신기획평가원, 부산광역시","
																									초등학생									,																	중학생									,																	고등학생									,																	대학생									,																	대학원생									,																	일반인","
																	21.06.10~21.07.28															"
2021 산림빅데이터 전문가 양성 교육,  한국임업진흥원,"
																									대학생									,																	대학원생									,																	일반인","
																	21.07.03~21.07.07															"
2021 NTIS 정보활용 경진대회,  과학기술정보통신부,"
																									제한없음","
																	21.06.21~21.07.20															"
2021년 공개SW 개발자대회,  과학기술정보통신부,"
																									초등학생									,																	중학생									,																	고등학생									,																	대학생									,																	대학원생									,																	일반인","
																	21.09.14~21.11.09															"
[인천관광공사] 인천 개항장 스마트 관광 상품 및 서비스 개발 공모,  인천관광기업지원센터,"
																									기타","
																	21.06.21~21.07.20															"
[통계청] 2021년 2분기 통계데이터센터 이용 · 활용수기 공모전,  통계청,"
																									제한없음","
																	21.07.23~21.07.27															"
제12회 전국 창의문제 해결능력 경진대회,"  대구광역시, 경상북도","
																									제한없음","
																	21.07.26~21.08.28															"
2021 메타버스 CG 리크루팅 캠프,"  과학기술정보통신부, 정보통신산업진흥원","
																									고등학생									,																	대학생									,																	일반인									,																	기타","
																	21.07.15~21.07.16															"
스마트폰 중독 경험 및 극복사례 공모전,  성남시중독관리통합지원센터,"
																									중학생									,																	고등학생									,																	대학생									,																	대학원생									,																	일반인									,																	기타","
																	21.08.02~21.08.15															"
제 2회 중소기업 통계데이터 활용 정책아이디어 공모전 (기간연장),  중소벤처기업부,"
																									제한없음","
																	21.08.06~21.08.23															"
"삼성전자, 사회복지공동모금회와 함께하는 2021 제2회 3D 프린터 활용 보조기기 공모전",  경기도재활공학서비스연구지원센터,"
																									제한없음","
																	21.07.26~21.08.31															"
2021년 문화유산 공공빅데이터 활용 경진대회,  문화재청,"
																									제한없음","
																	21.05.25~21.09.30															"
2021년 문화관광 빅데이터 분석대회 ,  한국문화관광연구원,"
																									대학생									,																	대학원생","
																	21.07.01~21.07.12															"
2021 우리 동네 온라인 사진 전시 공모전,  구립서초유스센터,"
																									제한없음									,																	기타","
																	21.08.02~21.08.03															"
2021 Hello New( ) World | 청소년 IT인재 육성 해커톤 프로젝트,  신세계아이앤씨,"
																									고등학생","
																	21.06.01~21.06.30															"
2021년 제4회 스마트아이디어 공모전,  김포시,"
																									초등학생									,																	중학생									,																	고등학생","
																	21.05.25~21.09.30															"
2021 광주스마트미디어X캠프,  과학기술정보통신부,"
																									대학생									,																	대학원생									,																	일반인","
																	21.06.22~21.06.30															"
2021 전국 고교생 게임기획·게임아트 공모전,  구미대학교 비주얼게임컨텐츠스쿨,"
																									고등학생","
																	21.08.03~21.08.18															"
2021년도 제22회 전파방송 기술대상 공고,  과학기술정보통신부,"
																									일반인									,																	기타","
																	21.10.04~21.10.15															"
2021 SMART X-LAB 9기 로봇 공모전,"  KT, 현대로보틱스, 현대중공업지주, 인천창조경제혁신센터","
																									기타","
																	21.05.17~21.06.30															"
2021 디지털 신기술 실무인재양성 해커톤,  고용노동부 / 한국기술교육대학교 직업능력심사평가원,"
																									대학생									,																	대학원생									,																	일반인									,																	기타","
																	21.06.25~21.07.21															"
제9회 산업통상자원부 공공데이터활용 비즈니스아이디어 공모전,  산업통상자원부,"
																									제한없음","
																	21.07.26~21.07.31															"
2021 캠퍼스 특허 유니버시아드 ,  특허청,"
																									대학생									,																	대학원생","
																	21.08.20~21.08.31															"
